"filename", "language", "Properties", "Batch", "Python", "PowerShell", "Markdown", "PostCSS", "JavaScript", "XML", "C", "Shell Script", "Django HTML", "reStructuredText", "comment", "blank", "total"
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\ANALYSIS_SUMMARY.md", "Markdown", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 42, 160
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\ASSIGNMENT.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\CODE_ANALYSIS.md", "Markdown", 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 100, 359
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\PRODUCT_BACKLOG.md", "Markdown", 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 129, 549
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\PROPOSAL.md", "Markdown", 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 142, 556
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\app.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 110
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\services\appointment_service.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\services\patient_service.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\appointment_create.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\appointments.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 20
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\patient_add.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\patient_edit.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\templates\patients.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\validators\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
